MedCodeId,Term,Observations,SNOMED_CT_Concept_ID,READcode,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,VF
19415,"Malignant neoplasm of lip, oral cavity and pharynx",,,B0...00,,,,,,,,
24374,"Carcinoma of lip, oral cavity and pharynx",,,B0...11,,,,,,,,
14712,Malignant neoplasm of lip,,,B00..00,,,,,,,,
9984,Carcinoma of lip,,,B00..11,,,,,,,,
73962,"Malignant neoplasm of upper lip, vermilion border",,,B000.00,,,,,,,,
66270,"Malignant neoplasm of upper lip, external",,,B000000,,,,,,,,
50296,"Malignant neoplasm of upper lip, lipstick area",,,B000100,,,,,,,,
98740,"Malignant neoplasm of upper lip, vermilion border NOS",,,B000z00,,,,,,,,
67446,"Malignant neoplasm of lower lip, vermilion border",,,B001.00,,,,,,,,
66384,"Malignant neoplasm of lower lip, external",,,B001000,,,,,,,,
95480,"Malignant neoplasm of lower lip, lipstick area",,,B001100,,,,,,,,
101707,"Malignant neoplasm of lower lip, vermilion border NOS",,,B001z00,,,,,,,,
99493,"Malignant neoplasm of upper lip, inner aspect",,,B002.00,,,,,,,,
99001,"Malignant neoplasm of upper lip, frenulum",,,B002100,,,,,,,,
98500,"Malignant neoplasm of upper lip, mucosa",,,B002200,,,,,,,,
90610,"Malignant neoplasm of upper lip, oral aspect",,,B002300,,,,,,,,
100721,"Malignant neoplasm of upper lip, inner aspect NOS",,,B002z00,,,,,,,,
71147,"Malignant neoplasm of lower lip, inner aspect",,,B003.00,,,,,,,,
67504,"Malignant neoplasm of lower lip, buccal aspect",,,B003000,,,,,,,,
91843,"Malignant neoplasm of lower lip, frenulum",,,B003100,,,,,,,,
89909,"Malignant neoplasm of lower lip, mucosa",,,B003200,,,,,,,,
94441,"Malignant neoplasm of lower lip, oral aspect",,,B003300,,,,,,,,
96782,"Malignant neoplasm of lower lip, inner aspect NOS",,,B003z00,,,,,,,,
61692,"Malignant neoplasm of lip unspecified, inner aspect",,,B004.00,,,,,,,,
73614,"Malignant neoplasm of lip unspecified, buccal aspect",,,B004000,,,,,,,,
68399,"Malignant neoplasm of lip unspecified, mucosa",,,B004200,,,,,,,,
100144,"Malignant neoplasm of lip, oral aspect",,,B004300,,,,,,,,
96783,Malignant neoplasm of commissure of lip,,,B005.00,,,,,,,,
18882,Malignant neoplasm of overlapping lesion of lip,,,B006.00,,,,,,,,
37553,"Malignant neoplasm of lip, unspecified",,,B007.00,,,,,,,,
100906,"Malignant neoplasm of lip, unspecified, external",,,B00z000,,,,,,,,
94251,"Malignant neoplasm of lip, unspecified, lipstick area",,,B00z100,,,,,,,,
69761,"Malignant neoplasm of lip, vermilion border NOS",,,B00zz00,,,,,,,,
10283,Malignant neoplasm of tongue,,,B01..00,,,,,,,,
43431,Malignant neoplasm of base of tongue,,,B010.00,,,,,,,,
69671,Malignant neoplasm of posterior third of tongue,,,B010.11,,,,,,,,
34409,Malignant neoplasm of base of tongue dorsal surface,,,B010000,,,,,,,,
91035,Malignant neoplasm of fixed part of tongue NOS,,,B010z00,,,,,,,,
43642,Malignant neoplasm of dorsal surface of tongue,,,B011.00,,,,,,,,
43781,Malignant neoplasm of dorsum of tongue NOS,,,B011z00,,,,,,,,
36161,"Malignant neoplasm of tongue, tip and lateral border",,,B012.00,,,,,,,,
62840,Malignant neoplasm of ventral surface of tongue,,,B013.00,,,,,,,,
102142,Malignant neoplasm of anterior 2/3 of tongue ventral surface,,,B013000,,,,,,,,
63979,Malignant neoplasm of frenulum linguae,,,B013100,,,,,,,,
38488,Malignant neoplasm of ventral tongue surface NOS,,,B013z00,,,,,,,,
58121,Malignant neoplasm of anterior 2/3 of tongue unspecified,,,B014.00,,,,,,,,
37096,"Malignant neoplasm of tongue, junctional zone",,,B015.00,,,,,,,,
24852,Malignant neoplasm of lingual tonsil,,,B016.00,,,,,,,,
47205,Malignant overlapping lesion of tongue,,,B017.00,,,,,,,,
