medcodeid	term	originalreadcode	cleansedreadcode	snomedctconceptid	snomedctdescriptionid	release
303162012	"Acute constipation"	"J5200"	"J520000"	197119006	303162012	
353853017	"Chronic constipation"	"J5204"	"J520400"	236069009	353853017	
1726521000006115	"Chronic constipation"	"EMISNQCH56"	""	1726521000006104	1726521000006115	
484894013	"Chronic constipation with overflow"	"J5201"	"J520100"	31499008	484894013	
303163019	"Chronic constipation without overflow"	"J5202"	"J520200"	197120000	303163019	
2162207016	"Constipated"	"19C2"	"19C2.00"	14760008	2162207016	
982721000006114	"Constipation"	"EMISCCO20"	""	982721000006105	982721000006114	
25076018	"Constipation"	"19C"	"19C..00"	14760008	25076018	
303161017	"Constipation - functional"	"J520"	"J520.00"	197118003	303161017	
590101000006113	"Constipation NOS"	"J520z"	"J520z00"	14760008	590101000006113	
303166010	"Constipation NOS"	"19CZ"	"19CZ.00"	14760008	590091000006119	
590111000006111	"Constipation symptom"	"19C-1"	"19C..11"	14760008	590111000006111	
630451000006116	"Drug induced constipation"	"J5203"	"J520300"	21782001	630451000006116	
1779381000000111	"Education for constipation care"	"ESCTED1"	""	795971000000104	1779381000000111	
886331000006117	"Faecal and other impaction"	"J503-99"	"J503.99"	62851005	886331000006117	
493967017	"Faecal impaction"	"J5031"	"J503100"	44635007	493967017	
784141000006118	"Impaction of the intestine"	"J503"	"J503.00"	62851005	784141000006118	
303092017	"Impaction of the intestine NOS"	"J503z"	"J503z00"	278526005	784151000006116	
303091012	"Impaction of the intestine unspecified"	"J503y"	"J503y00"	278526005	784161000006119	
2791650019	"Irritable bowel syndrome characterised by constipation"	"J5211"	"J521100"	440630006	2791650019	
303165014	"Other specified constipation"	"J520y"	"J520y00"	14760008	14071000006110	
295382018	"Psychogenic constipation"	"E2645"	"E264500"	191973007	295382018	
131671000006119	"Spurious (overflow) diarrhoea"	"19F3"	"19F3.00"	162106006	131671000006119	
906171000006112	"[RFC] Constipation"	"HNG0080"	""	906171000006108	906171000006112	
909031000006119	"[RFC] Constipation"	"HNG0634"	""	909031000006103	909031000006119	
303768016	"[X]Other impaction of intestine"	"Jyu51"	"Jyu5100"	62851005	411041000006112	
