Codelist_Name,ERAP_Number,Project_Title,Author,Coding System,Year_Created,DOI_Publication,Path_to_Codelist,Codelist on Github
AIDS,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Riskfactors/AIDS_with_SNOMED_Update.csv,Yes
Alcohol,22-000453,ID Fracture,Margaret Smith,Aurum,2024,,https://github.com/ndpchs-cprd/21-000433-Aurum-IDFracture/blob/main/Codelists/standardized_alcohol_status.csv,Yes
Alcohol,22-000453,ID Fracture,Margaret Smith,Gold,2024,,https://github.com/ndpchs-cprd/18-186-Gold-IDFracture/blob/main/Codelists/standardized_alcohol.csv,Yes
Alcohol - Dependence,22_002449,Excess Weight and Mental Health,Min Gao,Aurum,2024,,https://github.com/ndpchs-cprd/22-002449-Excess_Body_Weight/blob/main/Codelists/Covariates/Min_CL_Alcoholdependence.txt,Yes
Alcohol - Problematic Drinking,22-001836,CHD Anaemia,"Cynthia Wright Drakesmith, Margaret Smith",Gold,2024,,https://github.com/ndpchs-cprd/22_001836_CHD_Anaemia/blob/main/Codelists/Promblematic_Drinking.csv,Yes
Alcohol / Drinking,22_002449,Excess Weight and Mental Health,Min Gao,Aurum,2024,,https://github.com/ndpchs-cprd/22-002449-Excess_Body_Weight/blob/main/Codelists/Covariates/Min_CL_Alcoholdependence.txt,Yes
Alpha1Antitrypsin,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Riskfactors/Alpha1Antitrypsin_with_SNOMED_Update.csv,Yes
Anaemia,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Riskfactors/Anaemia_with_SNOMED_Update.csv,Yes
Anaemia,22_002449,Excess Weight and Mental Health,Min Gao,Aurum,2024,,https://github.com/ndpchs-cprd/22-002449-Excess_Body_Weight/blob/main/Codelists/Covariates/Min_CL_Anaemia.txt,Yes
Anaemia,22_001273,Evaluation of Anaemia in a Primary Care Population,Sarah Haynes,Aurum,2024,,https://github.com/ndpchs-cprd/22-001873-Evaluation_of_Anaemia_in-Primary_Care_Population/blob/main/Codelists/SH_AK_Anaemia.txt,Yes
Angina,22-000453,ID Fracture,Margaret Smith,Gold,2024,,https://github.com/ndpchs-cprd/18-186-Gold-IDFracture/blob/main/Codelists/standardized_angina.csv,Yes
Ankle Brachial Pressure,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/AnkleBrachial_with_SNOMED_Update.csv,Yes
Anorexia - Diagnosis,22_002449,Excess Weight and Mental Health,Min Gao,Aurum,2024,,https://github.com/ndpchs-cprd/22-002449-Excess_Body_Weight/blob/main/Codelists/Outcomes/Min_CL_Anorexia.txt,Yes
