v1	medcodeid	cleansedreadcode	observations	term	snomedctconceptid
2	235911000006116	"G73z.00"	500000	"Peripheral vascular disease"	400047006
355	384321000000116	"7A1Bz00"	40	"Transluminal operations on aneurysmal segment of aorta NOS"	265499009
56	530811000006112	"7A48100"	70	"Bypass popliteal artery by pop/pop a anast c prosthesis NEC"	233384002
402	173421000006116	"7A46B00"	4	"Replace aneurys pop art by pop/peron a anast c vein graf NEC"	233384002
258	884661000006110	"G742z99"	700	"Peripheral arterial embolism"	583731000000103
139	173451000006113	"7A14000"	500	"Replace aneurysm ascend aorta by anast of aorta/aorta NEC"	116360008
277	272018015	"7A49700"	30	"Profundoplasty of popliteal artery NEC"	405376002
212	410986018	"7A4B.13"	30	"Transluminal procedure on femoral artery"	275063008
120	271867017	"7A41y00"	30	"Other specified other bypass of iliac artery"	116360008
53	271511016	"7A19400"	1000	"Operation on aneurysm of aorta NEC"	32907006
69	530061000006115	"7A12100"	1000	"Bypass of bifurcation of aorta by anastomosis of aorta to femoral artery"	448171003
27	216185010	"662U.00"	60000	"Peripheral vascular disease monitoring"	134379001
39	410964019	"7A42011"	50	"Endarterectomy and patch repair of common iliac artery"	275041004
163	394329015	"7A42100"	400	"Endarterectomy of iliac artery"	307800001
243	640131000006119	"7A45z00"	10	"Emergency replacement aneurysmal femoral/popliteal art NOS"	265524008
4	1813511000006112	"9hS1.00"	10000	"Excepted from peripheral arterial disease quality indicators - informed dissent"	822671000000105
101	1813491000006118	"9hS..00"	2000	"Exception reporting - peripheral arterial disease quality indicators"	822611000000100
311	639541000006112	"7A47B00"	3	"Emerg bypass pop art by pop/peron art anast c vein graft NEC"	233384002
408	84961000006116	"C109F11"	20	"Type II diabetes mellitus with peripheral angiopathy"	314902007
133	272061017	"7A4B500"	10	"Percutaneous transluminal embolisation of popliteal artery"	175720003
5	272013012	"7A49200"	10000	"Femoral endarterectomy"	16589005
164	639431000006118	"7A47000"	200	"Emerg bypass femoral art by fem/pop art anast c prosth NEC"	112828007
281	300968014	"Gyu7800"	100	"[X]Aneurysm of aorta in diseases classified elsewhere"	67362008
